宪明 - 来不及说对不起|魏俫原创合集
尧十三 - 二嬢|飞船,宇航员
乔浚洆 - 喜欢你很久|喜欢你很久
陳雪凝 - 綠色|綠色
陈佳晨 - 地藏菩萨本愿经(上.中.下卷) (华语版)|地藏菩薩本願經(上.中.下卷)[華語版]
阿云嘎 - 秣马|九州缥缈录 电视剧原声带
大塚愛 - 金魚花火 (金鱼花火)|金鱼花火
吴司令 - 二嬢二嬢|二嬢二嬢
劉文正 - 鄉間的小路|群星會 16 劉文正 (珍藏系列)
新旭 - 氟西汀终究还是没了|花店不开了花继续开
张家辉 - 假的希望|爱得起(粵)
沈文程 - 老兄囉|巨星金曲11 台语原声带 群星合辑
巫娜 - 平靜的喜悅|天禪 (古琴 巫娜)
中岛美雪 - 帰省 (回乡)|短篇集
自然的聲音 - 鳥鳴和河流|冥想自然的聲音: 特別版
學習 - 轻音乐|如何學習2018 - 最好聽的鋼琴音樂和輕音樂為了集中注意力和好好學習
司徒兰芳 - 大叔很跩|大叔很跩
钧淏 - 各自安好|各自安好
李彩霞 - 愁酒|肩並肩
劉文正 - 踏著夕陽歸去|群星會 16 劉文正 (珍藏系列)
劉文正 - 卻上心頭|群星會 16 劉文正 (珍藏系列)
小寶寶音樂 - 兒童睡前音樂|兒童睡前音樂 - 寶寶安靜睡覺音樂為了睡得香和乖巧不吵鬧
李彩霞 - 分送寂寞和爱|肩並肩
奕睆 - 六字真言 (唱颂版)|奕睆新藏密 (11): 六字真言
安静 - 我的心晾在回忆忘了收|我的心晾在回忆忘了收
杨釨 - 梦中等待|梦中等待
寶寶安眠曲 - 小寶貝快睡覺吧|寶貝安眠曲 - 最有效的輕音樂為了嬰兒和孩子的睡眠
五條人 - 道山靚仔|縣城記
大塚愛 - 恋愛写真 (恋爱写真)|恋愛写真
薩摩拉哆.耕上師 - 准提神咒|福至心領
下雨天的咖啡 - 咖啡廳純音樂|下雨天的咖啡廳 - 水聲和輕音樂為了思考人生和放鬆的看書
蕭蔓萱 羅添洲 - 南無地藏王菩薩聖號 (華語版)|南無地藏王菩薩聖號(華語版)
小寶寶音樂 - 小寶寶入睡輕音樂|兒童睡前音樂 - 寶寶安靜睡覺音樂為了睡得香和乖巧不吵鬧
白噪聲 - 嬰兒的白噪聲|白噪聲
搖籃曲 - 催眠曲|森林睡眠音樂 - 舒缓的歌曲為了讓大脑尽快放松
寶寶早教 - 催眠曲|開發婴儿智力音樂 - 輕音樂和鋼琴曲為了胎兒大腦發育
流星鋼琴 - 早上適合聽的輕音樂|睡眠用鋼琴曲 - 心靈療愈系鋼琴音樂
鋼琴曲 - 白蓮花|不怕高考- 鋼琴曲讓你一心一意的學習
安静音乐 - 未來的世界|咖啡廳純音樂 - 好聽的輕音樂為了放鬆心情和看書
寶寶安眠曲 - 催眠曲|孕婦的輕音樂 - 鋼琴曲和大自然聲音為了嬰兒和懷孕媽媽
小寶寶音樂 - 乖乖睡|兒童睡前音樂 - 寶寶安靜睡覺音樂為了睡得香和乖巧不吵鬧
恐怖的萬聖節音樂 - 嚇人的音樂|萬聖節兒童音樂 - 詭異聲響和嚇人的音樂
纯音乐 - 快速安眠|睡覺減肥法 - 最好聽的14首純音樂為了讓你越睡越苗條
健身房 - 嗨音樂|每天鍛鍊 - 超級好聽的鍛鍊音樂為了每天變得更好
